dataset:    raniaaara/rose_evaluation_result_detailed
commit:     0f605de5d3a1715cd493936b77bd81376a789225
type:       normalize/standardize/encode
message:    add acu and normalized acu score
status:     archived
hub:        reachable (HTTP 200)
generated:  2026-07-31T18:09:47Z by analysis/archive_evidence.py, wrapping inspect_commit.py --download --show_rows
============================================================
# raniaaara/rose_evaluation_result_detailed @ 0f605de5d3
message: add acu and normalized acu score 

file changes:
M	rose_evaluation_result_detailed.csv

[rose_evaluation_result_detailed.csv] column change:
  removed: []
  added:   ['brio_acu', 'brio_normalized_acu', 'gsum_acu', 'gsum_normalized_acu', 'matchsum_acu', 'matchsum_normalized_acu', 'simcls_acu', 'simcls_normalized_acu']
  diff --git a/rose_evaluation_result_detailed.csv b/rose_evaluation_result_detailed.csv
  index dbc3481..24b855f 100644
  --- a/rose_evaluation_result_detailed.csv
  +++ b/rose_evaluation_result_detailed.csv
  @@ -1,501 +1,501 @@
  -﻿evaluator,index,gsum_summary_precision,gsum_summary_recall,gsum_summary_conciseness,gsum_summary_num_reference_acus,gsum_summary_num_generated_acus,gsum_summary_supported_generated_acus,gsum_summary_covered_reference_acus,gsum_summary_aligned_generated_acus,matchsum_summary_precision,matchsum_summary_recall,matchsum_summary_conciseness,matchsum_summary_num_reference_acus,matchsum_summary_num_generated_acus,matchsum_summary_supported_generated_acus,matchsum_summary_covered_reference_acus,matchsum_summary_aligned_generated_acus,brio_summary_precision,brio_summary_recall,brio_summary_conciseness,brio_summary_num_reference_acus,brio_summary_num_generated_acus,brio_summary_supported_generated_acus,brio_summary_covered_reference_acus,brio_summary_aligned_generated_acus,simcls_summary_precision,simcls_summary_recall,simcls_summary_conciseness,simcls_summary_num_reference_acus,simcls_summary_num_generated_acus,simcls_summary_supported_generated_acus,simcls_summary_covered_reference_acus,simcls_summary_aligned_generated_acus
  -Evaluator A (GPT-4.1-nano),0,0.625,0.375,0.125,8,8,5,3,1,0.454545455,0.375,0.181818182,8,11,5,3,2,1,0.25,0.5,8,8,8,2,4,0.8,0.75,0.5,8,10,8,6,5
  -Evaluator A (GPT-4.1-nano),1,1,0.5,0.7,10,10,10,5,7,1,0.4,0.428571429,10,7,7,4,3,0.777777778,0.5,0.777777778,10,9,7,5,7,1,0.6,0.727272727,10,11,11,6,8
  -Evaluator A (GPT-4.1-nano),2,1,0.375,0.4,8,5,5,3,2,0.909090909,0.625,0.454545455,8,11,10,5,5,1,0.5,0.375,8,8,8,4,3,0.857142857,0.375,0.285714286,8,7,6,3,2
  -Evaluator A (GPT-4.1-nano),3,0.75,1,0.5,7,12,9,7,6,1,0.857142857,0.7,7,10,10,6,7,0.636363636,1,0.636363636,7,11,7,7,7,1,0.857142857,0.777777778,7,9,9,6,7
  -Evaluator A (GPT-4.1-nano),4,0.7,0,0.1,9,10,7,0,1,0.9,0.666666667,0.7,9,10,9,6,7,0.333333333,0.444444444,0.555555556,9,9,3,4,5,0.444444444,0.333333333,0.666666667,9,9,4,3,6
  -Evaluator A (GPT-4.1-nano),5,0.769230769,0.714285714,0.538461538,7,13,10,5,7,1,0.714285714,0.5,7,6,6,5,3,0.75,0.714285714,0.416666667,7,12,9,5,5,1,0.714285714,0.444444444,7,9,9,5,4
  -Evaluator A (GPT-4.1-nano),6,0.933333333,0.6,0.333333333,10,15,14,6,5,0.416666667,0.2,0.083333333,10,12,5,2,1,1,0.2,0.25,10,12,12,2,3,1,0.2,0.272727273,10,11,11,2,3
  -Evaluator A (GPT-4.1-nano),7,0.666666667,0.444444444,0.333333333,9,9,6,4,3,0.666666667,0.666666667,0.333333333,9,9,6,6,3,0.8,0.222222222,0.4,9,5,4,2,2,0.4,0.444444444,0.8,9,5,2,4,4
  -Evaluator A (GPT-4.1-nano),8,0.571428571,0.5,0.285714286,4,7,4,2,2,1,0,0.125,4,8,8,0,1,0.75,0.5,0.25,4,8,6,2,2,0.666666667,0.5,0.333333333,4,6,4,2,2
  -Evaluator A (GPT-4.1-nano),9,1,0.333333333,0.333333333,9,9,9,3,3,0.75,0.777777778,0.25,9,8,6,7,2,0.818181818,0.444444444,0.363636364,9,11,9,4,4,0.769230769,0.111111111,0.153846154,9,13,10,1,2
  -Evaluator A (GPT-4.1-nano),10,0.5,0.5,0.166666667,4,12,6,2,2,0.888888889,0.25,0.111111111,4,9,8,1,1,0.727272727,0.5,0.090909091,4,11,8,2,1,0.571428571,0.25,0,4,7,4,1,0
  -Evaluator A (GPT-4.1-nano),11,1,0.333333333,0.5,6,8,8,2,4,1,0.666666667,0.454545455,6,11,11,4,5,1,0.166666667,0,6,4,4,1,0,0.833333333,0,0.166666667,6,6,5,0,1
  -Evaluator A (GPT-4.1-nano),12,1,1,0.666666667,10,18,18,10,12,1,0.7,0.727272727,10,11,11,7,8,0.846153846,0.6,0.461538462,10,13,11,6,6,0.9,0.6,0.6,10,10,9,6,6
  -Evaluator A (GPT-4.1-nano),13,1,0.625,0.5,8,8,8,5,4,1,0.875,0.6,8,10,10,7,6,0.857142857,0.75,0.428571429,8,7,6,6,3,1,0.875,0.555555556,8,9,9,7,5
  -Evaluator A (GPT-4.1-nano),14,0.428571429,0.5,0.214285714,6,14,6,3,3,1,0.833333333,0.375,6,8,8,5,3,0.8,0.833333333,0.4,6,10,8,5,4,0.3,0.333333333,0.3,6,10,3,2,3
  -Evaluator A (GPT-4.1-nano),15,1,0.857142857,0.875,7,8,8,6,7,1,0.857142857,0.625,7,8,8,6,5,0.833333333,1,0.75,7,12,10,7,9,0.875,0.714285714,0.75,7,8,7,5,6
  -Evaluator A (GPT-4.1-nano),16,0.769230769,0.5,0.230769231,6,13,10,3,3,1,0.5,0.3,6,10,10,3,3,0.666666667,0.666666667,0.333333333,6,9,6,4,3,0.727272727,0.333333333,0.272727273,6,11,8,2,3
  -Evaluator A (GPT-4.1-nano),17,0.666666667,0.142857143,0,7,9,6,1,0,0.888888889,0.285714286,0.111111111,7,9,8,2,1,1,0.571428571,0.25,7,8,8,4,2,0.857142857,0.285714286,0,7,7,6,2,0
  -Evaluator A (GPT-4.1-nano),18,0.7,0.4,0.2,5,10,7,2,2,1,0.2,0.285714286,5,7,7,1,2,1,0.2,0.25,5,8,8,1,2,0.818181818,0,0.181818182,5,11,9,0,2
  -Evaluator A (GPT-4.1-nano),19,1,0.857142857,0.5,7,6,6,6,3,1,0.714285714,0.454545455,7,11,11,5,5,1,0.714285714,0.5,7,8,8,5,4,1,0.857142857,0.5,7,10,10,6,5
  -Evaluator A (GPT-4.1-nano),20,0.714285714,0.8,0.714285714,5,7,5,4,5,1,0.6,0.857142857,5,7,7,3,6,0.857142857,0.8,0.857142857,5,7,6,4,6,0.888888889,0.4,0.333333333,5,9,8,2,3
  -Evaluator A (GPT-4.1-nano),21,1,0.714285714,0.5,7,8,8,5,4,1,0.428571429,0.6,7,5,5,3,3,1,0.428571429,0.428571429,7,7,7,3,3,1,0.714285714,0.714285714,7,7,7,5,5
  -Evaluator A (GPT-4.1-nano),22,1,0.5,0.1,6,10,10,3,1,0.909090909,0.833333333,0.454545455,6,11,10,5,5,0.9,0.5,0.2,6,10,9,3,2,1,0.833333333,0.444444444,6,9,9,5,4
  -Evaluator A (GPT-4.1-nano),23,0.916666667,0.9,0.416666667,10,12,11,9,5,0.846153846,0.9,0.538461538,10,13,11,9,7,0.916666667,0.7,0.416666667,10,12,11,7,5,0.818181818,0.6,0.545454545,10,11,9,6,6
  -Evaluator A (GPT-4.1-nano),24,0.727272727,0.5,0.090909091,4,11,8,2,1,1,0.25,0.2,4,10,10,1,2,0.666666667,0.5,0.222222222,4,9,6,2,2,1,0.5,0.375,4,8,8,2,3
  -Evaluator A (GPT-4.1-nano),25,0.941176471,0,0,7,17,16,0,0,1,0,0,7,8,8,0,0,0.4,0,0.1,7,10,4,0,1,0.833333333,0,0.166666667,7,6,5,0,1
  -Evaluator A (GPT-4.1-nano),26,0.8,0.5,0.2,6,10,8,3,2,1,1,0.461538462,6,13,13,6,6,0.909090909,1,0.454545455,6,11,10,6,5,0.9,0.666666667,0.3,6,10,9,4,3
  -Evaluator A (GPT-4.1-nano),27,1,0.8,0.375,5,8,8,4,3,1,0.8,0.142857143,5,7,7,4,1,0.857142857,0.6,0.714285714,5,7,6,3,5,0.714285714,0.6,0.428571429,5,7,5,3,3
  -Evaluator A (GPT-4.1-nano),28,0.846153846,0.666666667,0.384615385,6,13,11,4,5,0.9,0.5,0.5,6,10,9,3,5,0.777777778,0.333333333,0.444444444,6,9,7,2,4,0.666666667,0.166666667,0.166666667,6,6,4,1,1
  -Evaluator A (GPT-4.1-nano),29,1,0.5,0.222222222,6,9,9,3,2,0.916666667,0.333333333,0.166666667,6,12,11,2,2,1,0.666666667,0.4,6,5,5,4,2,0.833333333,0.666666667,0.333333333,6,6,5,4,2
  -Evaluator A (GPT-4.1-nano),30,1,0.6,0.625,5,8,8,3,5,0.714285714,0.6,0.428571429,5,7,5,3,3,0.888888889,0.6,0.555555556,5,9,8,3,5,1,1,0.75,5,8,8,5,6
  -Evaluator A (GPT-4.1-nano),31,0.916666667,0.666666667,0.166666667,6,12,11,4,2,1,0.833333333,0.2,6,10,10,5,2,0.923076923,0.833333333,0.153846154,6,13,12,5,2,1,0.833333333,0.2,6,10,10,5,2
  -Evaluator A (GPT-4.1-nano),32,0.722222222,0.75,0.222222222,8,18,13,6,4,0.882352941,0.75,0.352941176,8,17,15,6,6,0.9,0.875,0.6,8,10,9,7,6,0.466666667,0.25,0.066666667,8,15,7,2,1
  -Evaluator A (GPT-4.1-nano),33,0.923076923,0.714285714,0.692307692,7,13,12,5,9,0.888888889,0.571428571,0.666666667,7,9,8,4,6,0.857142857,0.714285714,0.428571429,7,14,12,5,6,0.6,0.571428571,0.6,7,10,6,4,6
  -Evaluator A (GPT-4.1-nano),34,1,0.2,0.125,5,16,16,1,2,1,0.2,0.142857143,5,7,7,1,1,1,0.4,0.4,5,10,10,2,4,1,0.2,0.166666667,5,6,6,1,1
  -Evaluator A (GPT-4.1-nano),35,1,0.5,0.857142857,6,7,7,3,6,0.666666667,0.333333333,0.666666667,6,9,6,2,6,1,0.333333333,0.571428571,6,7,7,2,4,0.75,0.166666667,0.625,6,8,6,1,5
  -Evaluator A (GPT-4.1-nano),36,0.833333333,0.75,0.5,4,12,10,3,6,0.8,0.5,0.6,4,10,8,2,6,0.75,0.25,0.5,4,8,6,1,4,1,0.25,0.428571429,4,7,7,1,3
  -Evaluator A (GPT-4.1-nano),37,0.888888889,0.555555556,0.666666667,9,9,8,5,6,0.777777778,0.444444444,0.666666667,9,9,7,4,6,0.9,0.555555556,0.5,9,10,9,5,5,0.9,0.555555556,0.6,9,10,9,5,6
  -Evaluator A (GPT-4.1-nano),38,1,0.166666667,0.166666667,6,6,6,1,1,0.75,0,0,6,4,3,0,0,1,0.333333333,0.333333333,6,6,6,2,2,1,0.666666667,0.75,6,8,8,4,6
  -Evaluator A (GPT-4.1-nano),39,0.8,0.25,0.1,8,10,8,2,1,1,0.25,0.272727273,8,11,11,2,3,0.818181818,0.375,0.181818182,8,11,9,3,2,1,0.375,0.222222222,8,9,9,3,2
  -Evaluator A (GPT-4.1-nano),40,1,0.75,0.3,4,10,10,3,3,1,1,0.5,4,6,6,4,3,0.875,0.75,0.375,4,8,7,3,3,1,0.25,0.375,4,8,8,1,3
  -Evaluator A (GPT-4.1-nano),41,0.888888889,0.4,0,5,9,8,2,0,0.769230769,0.2,0.076923077,5,13,10,1,1,1,0.6,0.444444444,5,9,9,3,4,0.777777778,0.4,0,5,9,7,2,0
  -Evaluator A (GPT-4.1-nano),42,0.714285714,1,0.142857143,3,7,5,3,1,1,0.666666667,0,3,3,3,2,0,0.833333333,1,0.333333333,3,6,5,3,2,1,0.333333333,0.166666667,3,6,6,1,1
  -Evaluator A (GPT-4.1-nano),43,0.785714286,0.5,0.5,8,14,11,4,7,0.7,0.75,0.6,8,10,7,6,6,0.777777778,1,0.888888889,8,9,7,8,8,0.75,0.625,0.625,8,8,6,5,5
  ... 959 further lines not shown (cap is 50)
