dataset,commit,verdict,detail,rows_before,rows_after,rows_changed,columns_lost,columns_added,skipped
w139700701/CoV-AbDab-260722,a15bb433f5318ce8ceac2df88ab945280b0df144,unreadable,no readable tabular file at either revision,,,,,,CoV-AbDab_260722_original_bind_postprocess_addPyProteinRegionindex_Dropduplicates.csv:lfs-pointer
imageomics/Heliconius-Collection_Cambridge-Butterfly,6ef14cc5d27e932b7928f349e14917ef444fc64e,rows-dropped,"1739 fewer row(s) after, 4462 tuple(s) not carried over",22175,62579,4462,CAM_Dupe,filename; filepath; md5; CAM_dupe; ; Image; dataset; Response_status; view,Jiggins_Heliconius_Master.csv:lfs-pointer; Jiggins_Zenodo_Img_Master.csv:lfs-pointer; metadata/Jiggins_Zenodo_Img_Master_3477891Patch.csv:lfs-pointer; metadata/Jiggins_Zenodo_Master.csv:lfs-pointer; metadata/deduplication/Jiggins_Zenodo_Img_Master_3477891Patch_downloaded.csv:lfs-pointer
luiseduardobrito/ptbr-quora-translated,a7df686076155d4961bfcb429509a53459627e49,unreadable,no readable tabular file at either revision,,,,,,quora_duplicate_questions_translated.csv:lfs-pointer
aisuko/quora_duplicate_questions,a14d27956a816dbb441515c1b732465fe5064092,unreadable,no readable tabular file at either revision,,,,,,quora_duplicate_questions.tsv:lfs-pointer
katarinayuan/ProtST-SubcellularLocalization,942419395d983978255fdc29c68f6f068d56897d,unreadable,no readable tabular file at either revision,,,,,,subcellular_localization_valid.csv:no-delimiter
katarinayuan/ProtST-SubcellularLocalization,77798273430d13baf7a22aad18820e08f361f6b5,unreadable,no readable tabular file at either revision,,,,,,subcellular_localization_test.csv:no-delimiter
Brandon-h/offensive-and-grooming-dataset,545b0ea518224b5bb9c052c2ef0fec97c51f3dbe,adds-columns,no row lost; derivability of the added columns needs a human,0,30446,0,,index; text; label,
sinkcup/openspd,fcb01e8fab69a06bca91a772f1dc696b20739fad,columns-lost,"every row survives, but 8 column(s) do not",11,11,0,ID; 按键数量(type:INT32); images(type:string); 安装位置(type:string); 图片(type:string); 尺寸（英寸）(type:INT32); 峰值亮度（尼特）(type:INT32); 控光分区(type:INT32),编号; 按键数量(type:int); 图片(type:text); 安装位置(type:char); 尺寸（英寸）(type:int); 峰值亮度（尼特）(type:int); 控光分区(type:int),插座插排/train/0000.csv:no-delimiter
Krooz/Campus_Recruitment_CSV,ef1722f20a8a14a572b468e8f1e15a169290366b,adds-columns,no row lost; derivability of the added columns needs a human,0,10000,0,,CGPA; Internships; Projects; Workshops/Certifications; AptitudeTestScore; SoftSkillsRating; ExtracurricularActivities; PlacementTraining; SSC_Marks; HSC_Marks; PlacementStatus,
djulian13/east-slavic-swadesh-lists,a4c5651f5e37523dd15324b68e4c13c905dfa094,preserves,"same rows, same columns",40,40,0,,,
