DatasetID,CommitId,tentative_type,log_message
Anthropic/EconomicIndex,1779b5efe00577781868a4306206e4432e1ab45c,cleaning,Clean up repo
joonhok-exo-ai/korean_law_open_data_precedents,5de8f553aa318b35fdd58d8a184a8214f4edaedc,deduplication,"Delete train.zip as it contains duplicate field ""판결유형"""
Rapidata/multilingual-llm-jokes-4o-claude-gemini,f533da0853ee73af062a27f37aad0e2537aca811,merge,Upload result_checkpoint_2025-07-03_10-17-36-merged.csv
Abdulahad79/Crop_Classifiacation_Pakistan,aa41ce587e081f13d27bea7ec52b963606944831,cleaning,Upload cleaned_combined.csv
dragosnicolae555/RoITD,53bfe0b3ec4b22015ae84ff20c436d8934f3f3b9,cleaning,clean version 2
dragosnicolae555/RoITD,16c71afd4978870f481c62e7d2cc7ec10ae4c725,cleaning,clean data set
sheryylli/utr_total_reads,553ad503c3a9589c90efce086189248adf677c8f,column/field add-remove,"upload tran.csv, using same process as before [note that now the columns are utr, total_reads, and rl]"
valurank/12-factor,1a3b925ce86cad7290111b72f36ff0d6889db6da,normalize/standardize/encode,"12-factor based scoring of 100 articles, with an attempt to aggregate and normalize to a single score"
valurank/12-factor,701e849100438fd9c700256f9f600ea5919438f4,normalize/standardize/encode,"12-factor based scoring of 100 articles, and an attempt to aggregate and normalize them to a single score"
arize-ai/movie_reviews_with_context_drift,8d58224ebb5b0723f8c19dd51cec33bdb9073fe8,merge,Merge 'main' of https://huggingface.co/datasets/arize-ai/reviews_with_drift
reallycarlaost/emobank_w,0d868f47ebc65dd7b446363d88ba01feea7c91a0,normalize/standardize/encode,Upload emobank-writer-normalized-test.csv
reallycarlaost/emobank_w,f8969c9edd8de8f92778888b5a9f056d8760eee1,normalize/standardize/encode,Upload emobank-writer-normalized-train.csv
scikit-learn/student-alcohol-consumption,beb7bb2c4e1b6245320773dccbe5e5a281aff9ed,merge,Upload student-merge.R
Maxmioti/GDRP-fines,c7c3c3260246c177e4f55d87887d1e774a9511ec,cleaning,Upload clean_preprocess_data_multilabel.csv
Johny201/gdpr-articles,b0cba20bcd8406693a3069661b7527af8277739b,cleaning,Upload clean_preprocess_data_multilabel.csv
AI-Growth-Lab/patents_claims_1.5m_traim_test,0107bfd1924b62a58668c1e9f19a75467e004ae0,deduplication,Upload df_claim_train_1M_pre_duplicates_removed_663.csv
AI-Growth-Lab/patents_claims_1.5m_traim_test,e0fb5e0423988f248e1938d752170f97a6714b4f,deduplication,Upload df_claim_test_1M_pre_duplicates_removed_663.csv
shahadalkhalifa/Crypto_Whitepaper_Labeled,45f13f19ffa2cbd7e0c78a7a32e44391dbe69791,cleaning,Upload Clean_crypto_text.xlsx
shahadalkhalifa/Crypto_Whitepaper_Labeled,e997c363256697961b37394e545adf0aef658c4f,cleaning,Upload Clean_crypto_text.csv
TheoTsio/Health_Misinfo,52c42c91b9f15f75ddf8eb66a6f9dd7bdd1f5c83,column/field add-remove,Removing unnamed column
katossky/wine-recognition,cf3826bfd019ce85c1baee2e841566e7d387ec31,column/field add-remove,suppress spaces after wines.csv's column name separators
katossky/wine-recognition,7cf8e165c1774c8d5873452466ba478bcfb88338,column/field add-remove,update task field
deutsche-telekom/ger-backtrans-paraphrase,5ca6d476f28923c99bd749081e55dbab6a72e690,column/field add-remove,add columns description
deutsche-telekom/ger-backtrans-paraphrase,89e55029be7ea594abc902204977c5f56c993a02,column/field add-remove,add column names
stacked-summaries/stacked-samsum-1024,35651a35a77113a088e024f13b73eddf215f8538,deduplication,randomization and drop duplicates
proteinea/fluorescence,5954b78ac3514d02cc5e55a795e71c635b0de45b,column/field add-remove,removed unnamed column
dawood/elon-tweets,7b46494282984bdf024ceffad646d6f0689e0c7a,cleaning,Delete cleandata.csv
dawood/elon-tweets,8aaebb26fee6e73b09e29a875b6ab9de3f136137,cleaning,Upload cleandata.csv
Yusuf5/OpenCaselistTMP,c2b7666d1932397eb2b9c629b3a877b6c115a578,column/field add-remove,Fix column name
gtfintechlab/finer-ord,7067c8ac26a32c4c5c5a8408488830e618c0cf59,rename/split-standardization,Removed information about train test split in huggingface and keeping in paper
racdroid/cicds-2017,59249d49dd97667c3973d57b55338b462d15df4e,cleaning,Upload cleaned_data.csv
Yusuf5/OpenCaselist,9746179773aec277bc2271e4065dfe1ca9320f8a,column/field add-remove,Add column names
w139700701/CoV-AbDab-260722,a15bb433f5318ce8ceac2df88ab945280b0df144,deduplication,Upload CoV-AbDab_260722_original_bind_postprocess_addPyProteinRegionindex_Dropduplicates.csv
